CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 490 | Botswana | 17.10 | 2014 est. |
| 491 | Sudan | 17.10 | 2014 est. |
| 492 | Argentina | 17.10 | 2014 est. |
| 493 | Namibia | 17.00 | 2014 est. |
| 494 | Aruba | 16.90 | 2014 est. |
| 495 | Ghana | 16.80 | 2014 est. |
| 496 | Solomon Islands | 16.80 | 2014 est. |
| 497 | Cameroon | 16.80 | 2014 est. |
| 498 | Swaziland | 16.70 | 2014 est. |
| 499 | Sao Tome and Principe | 16.70 | 2014 est. |
| 500 | Turkmenistan | 16.40 | 2014 est. |
| 501 | Laos | 16.10 | 2014 est. |
| 502 | Tanzania | 16.10 | 2014 est. |
| 503 | Moldova | 16.10 | 2014 est. |
| 504 | Congo, Republic of the | 16.00 | 2014 est. |
| 505 | Qatar | 16.00 | 2014 est. |
| 506 | Malawi | 16.00 | 2014 est. |
| 507 | Albania | 15.90 | 2014 est. |
| 508 | Hong Kong | 15.90 | 2014 est. |
| 509 | Uzbekistan | 15.80 | 2014 est. |
| 510 | Barbados | 15.80 | 2014 est. |
| 511 | Ethiopia | 15.80 | 2014 est. |
| 512 | Kyrgyzstan | 15.80 | 2014 est. |
| 513 | Macau | 15.70 | 2014 est. |
| 514 | Mozambique | 15.60 | 2014 est. |
| 515 | Belize | 15.60 | 2014 est. |
| 516 | Philippines | 15.60 | 2014 est. |
| 517 | South Sudan | 15.60 | 2014 est. |
| 518 | Brunei | 15.50 | 2014 est. |
| 519 | Timor-Leste | 15.40 | 2014 est. |
| 520 | Djibouti | 15.30 | 2014 est. |
| 521 | Kiribati | 15.20 | 2014 est. |
| 522 | Vanuatu | 15.10 | 2014 est. |
| 523 | Zimbabwe | 14.90 | 2014 est. |
| 524 | New Caledonia | 14.90 | 2014 est. |
| 525 | Chile | 14.90 | 2014 est. |
| 526 | Armenia | 14.90 | 2014 est. |
| 527 | Central African Republic | 14.80 | 2014 est. |
| 528 | Micronesia, Federated States of | 14.60 | 2014 est. |
| 529 | Algeria | 14.60 | 2014 est. |
| 530 | Syria | 14.60 | 2014 est. |
| 531 | Singapore | 14.50 | 2014 est. |
| 532 | Lesotho | 14.30 | 2014 est. |
| 533 | Pakistan | 14.20 | 2014 est. |
| 534 | Thailand | 13.90 | 2014 est. |
| 535 | Korea, North | 13.80 | 2014 est. |
| 536 | Bhutan | 13.80 | 2014 est. |
| 537 | Maldives | 13.60 | 2014 est. |
| 538 | Bangladesh | 13.60 | 2014 est. |
| 539 | Libya | 13.50 | 2014 est. |
| 540 | Honduras | 13.50 | 2014 est. |
| 541 | Nicaragua | 13.40 | 2014 est. |
| 542 | Haiti | 13.40 | 2014 est. |
| 543 | Morocco | 13.40 | 2014 est. |
| 544 | Trinidad and Tobago | 13.30 | 2014 est. |
| 545 | Sri Lanka | 13.20 | 2014 est. |
